Frame Number,X,Y,Z,velocity,snr,target_id
24,-0.77848935,0.32987106,0.8533119,0.34804,5.0,0
24,-0.7646753,0.36073843,0.8533119,0.34804,6.52,0
24,-0.80493814,0.37973255,0.8982417,0.41748002,6.3599997,0
24,-0.7535107,0.3835129,0.8533119,0.34804,8.76,0
24,-0.7931856,0.4037062,0.8982417,0.41748002,8.0,0
24,-0.741668,0.40594232,0.8533119,0.34804,12.24,0
24,-0.78071934,0.42731658,0.8982417,0.41748002,10.12,0
24,-0.72669286,0.5087612,0.80998844,0.34804,17.76,0
24,-0.76495576,0.5355492,0.8526371,0.34804,12.759999,0
24,-0.716373,0.52319235,0.80998844,0.34804,25.88,0
24,-0.7540925,0.5507402,0.8526371,0.27832,15.5199995,0
24,-0.70576656,0.5374142,0.80998844,0.34804,35.36,0
24,-0.7429276,0.56571096,0.8526371,0.27832,17.88,0
24,-0.78008866,0.5940077,0.89528584,0.27832,7.24,0
24,-0.69487786,0.5514211,0.80998844,0.34804,40.0,0
24,-0.72562456,0.5877409,0.8526371,0.27832,18.88,0
24,-0.67802507,0.5720162,0.80998844,0.34804,35.239998,0
24,-0.7137254,0.6021348,0.8526371,0.27832,18.24,0
24,-0.66644984,0.58546144,0.80998844,0.34804,26.519999,0
24,-0.7079113,0.6218844,0.8432566,0.27832,16.24,0
24,-0.65460813,0.5986724,0.80998844,0.34804,19.0,0
24,-0.6953329,0.6359173,0.8432566,0.27832,13.88,0
24,-0.6425045,0.61164397,0.80998844,0.41748002,13.88,0
24,-0.68247634,0.6496959,0.8432566,0.27832,11.5199995,0
24,-0.630144,0.6243709,0.80998844,0.41748002,10.5199995,0
24,-0.6647618,0.7135727,0.8049013,0.34804,9.639999,0
24,-0.61753136,0.6368481,0.80998844,0.41748002,8.24,0
24,-3.6281564,3.894558,4.860099,0.27832,6.24,254
24,-3.4069035,4.213016,4.848809,0.27832,7.12,254
24,-0.28440383,0.20771009,0.52508193,0.41748002,6.64,255
24,-0.3026696,0.3450926,0.52251554,0.34804,8.5199995,255
24,-0.27840838,0.48625037,0.511616,0.27832,6.64,255
24,-0.1517991,0.26512265,-0.7631193,0.55664,26.64,255
24,0.03262983,1.0873346,-1.5538017,-0.20888,5.0,255
24,0.04234016,0.3833568,0.7968139,0.55664,7.8799996,255
24,0.27080348,0.18959084,0.6829512,0.27832,28.0,255
24,-0.4428757,0.13738404,0.8274292,0.6958,10.5199995,255
25,0.61075175,0.27332854,0.99763495,0.62636,9.0,0
25,-0.61092454,0.4368794,0.85495704,0.83496004,7.52,0
25,-0.6807791,0.37261558,0.9983275,0.41748002,5.7599998,0
25,-0.3089303,0.16908897,0.52508193,0.55664,5.64,0
25,-0.30192143,0.18130763,0.52508193,0.55664,7.12,0
25,-0.29634717,0.19028232,0.52508193,0.55664,8.76,0
25,-0.2905062,0.1990858,0.52508193,0.55664,10.24,0
25,-0.28231254,0.21054368,0.52508193,0.55664,11.36,0
25,-0.27587014,0.21891707,0.52508193,0.55664,11.88,0
25,-0.27143693,0.22439031,0.52508193,0.55664,11.639999,0
25,-0.26458406,0.23243123,0.52508193,0.48720002,11.0,0
25,-0.23292981,0.70288855,0.4851382,0.55664,13.12,0
25,-0.20160677,0.675597,0.42261976,0.62636,20.119999,0
25,0.072495945,0.27251905,-0.70439994,0.76552004,15.24,255
25,0.3279746,0.28235802,0.7722527,0.27832,10.639999,255
25,1.61404,1.8035632,2.7551332,0.34804,5.0,254
25,0.6405023,0.87846565,-0.33630198,0.76552004,5.24,255
26,1.7288704,0.6326475,0.98196095,-0.27832,7.52,0
26,1.7583289,0.5454495,0.98196095,-0.27832,7.24,0
26,-1.747069,0.5805046,0.98196095,-0.27832,6.7599998,0
26,-1.7307082,0.7538591,0.8887228,-0.27832,6.24,0
26,-1.715286,0.7883201,0.8887228,-0.27832,5.7599998,0
26,1.6626132,0.68497366,1.1781144,1.53076,6.52,254
26,1.7006952,0.584044,1.1781144,1.53076,6.8799996,254
26,-1.7226903,0.5155672,1.1781144,1.53076,7.0,254
26,-1.7006952,0.584044,1.1781144,1.53076,7.0,0
26,-1.6759793,0.6515866,1.1781144,1.53076,6.7599998,0
26,-0.9027794,0.5796679,0.782237,0.41748002,6.8799996,0
26,-0.81905586,0.6108373,0.74497354,0.62636,10.12,0
26,-4.436834,3.106249,4.9453964,0.27832,6.7599998,254
26,-0.36281228,0.29387045,0.42631856,0.34804,7.8799996,0
26,-0.3568627,0.3010674,0.42631856,0.34804,8.5199995,0
26,-4.034628,5.19856,2.7821994,3.479,5.52,254
26,-0.35077035,0.30814397,0.42631856,0.34804,9.12,0
26,-0.4547781,0.44168714,0.5232336,0.48720002,11.12,0
26,-1.5870706,1.5413861,1.7890733,-0.13916,6.24,254
26,-4.07056,3.5758967,4.848809,0.27832,9.5199995,254
26,-0.34453776,0.31509727,0.42631856,0.34804,9.5199995,0
26,-0.44585398,0.4506938,0.5232336,0.48720002,13.759999,0
26,-1.5297874,1.3990684,1.8552312,-0.13916,7.52,254
26,-0.3381673,0.32192457,0.42631856,0.34804,9.76,0
26,-0.4449451,0.45886323,0.5168679,0.48720002,17.359999,0
26,-0.3316616,0.3286231,0.42631856,-0.13916,9.88,0
26,-0.43567947,0.46766973,0.5168679,0.48720002,22.64,0
26,-0.39024067,0.43606335,0.48297262,-0.13916,23.359999,0
26,-0.42623952,0.47628924,0.5168679,0.48720002,30.519999,0
26,-1.4097795,1.5753181,1.7095311,0.55664,5.8799996,254
26,-0.32114497,0.34472537,0.4216283,-0.13916,9.76,0
26,-0.38457102,0.44742084,0.4770967,-0.13916,25.519999,0
26,-0.41662917,0.48471817,0.5168679,-0.13916,41.64,0
26,-1.2269088,0.53441495,1.9952699,0.48720002,8.5199995,254
26,-3.653235,4.250277,4.532183,0.27832,6.7599998,254
26,-0.38007766,0.45124412,0.4770967,-0.13916,27.24,0
26,-0.40685213,0.49295327,0.5168679,-0.13916,55.64,0
26,-0.3400524,0.42051274,0.43732554,-0.13916,20.64,0
26,-0.37097737,0.4587549,0.4770967,-0.13916,28.359999,0
26,-0.40190232,0.49699706,0.5168679,-0.13916,66.36,0
26,-0.55758756,0.57502925,0.80838203,0.76552004,8.76,0
26,-0.36172867,0.46608225,0.4770967,-0.13916,28.76,0
26,-0.39188266,0.5049352,0.5168679,-0.13916,64.88,0
26,-0.42203665,0.54378825,0.556639,0.27832,6.0,0
26,-0.35704985,0.46967614,0.4770967,-0.13916,28.359999,0
26,-0.38170627,0.51267135,0.5168679,-0.13916,52.879997,0
26,-0.34758556,0.47672272,0.4770967,-0.13916,26.64,0
26,-0.37656057,0.5164627,0.5168679,-0.13916,38.76,0
26,-0.3379822,0.48357862,0.4770967,-0.13916,24.0,0
26,-0.36615667,0.52389014,0.5168679,-0.13916,27.88,0
26,-0.33312958,0.4869342,0.4770967,-0.13916,21.0,0
26,-0.36089954,0.5275254,0.5168679,-0.13916,20.359999,0
26,-0.32332498,0.493499,0.4770967,-0.13916,18.0,0
26,-0.35027757,0.53463745,0.5168679,-0.13916,15.36,0
26,-0.31837386,0.4967075,0.4770967,-0.13916,15.5199995,0
26,-0.3414884,0.5696889,0.484277,-0.13916,12.0,0
26,-0.41885695,0.26306704,0.88260573,0.90468,9.88,0
26,-0.4496248,0.48263898,0.8485192,0.90468,10.76,0
26,-0.30837673,0.5029752,0.4770967,-0.13916,13.36,0
26,-0.33577454,0.5730753,0.484277,-0.13916,9.639999,0
26,-0.32424664,0.57967573,0.484277,-0.13916,7.7599998,0
26,-0.3184338,0.58288914,0.484277,-0.13916,6.52,0
26,2.192221,6.400181,-2.0927265,-2.99208,5.64,255
26,0.87260693,2.1228476,-0.7099873,-2.01796,9.5199995,255
26,1.2485801,1.4235843,0.7127388,0.62636,11.639999,255
26,-0.5790894,0.3321771,0.67377007,0.27832,5.24,255
27,0.69922036,0.37367147,0.9024756,0.62636,15.639999,255
27,-0.44293502,0.25999722,0.46896726,0.27832,6.52,0
27,-0.43493697,0.27316627,0.46896726,0.27832,7.24,0
