frame_timestamp,Frame Number,X,Y,Z,velocity,snr,target_id
22:21:18:207,2,-0.47685984,0.3862466,0.3273203,-4.3836803,9.0,0
22:21:18:207,2,-0.4729736,0.39099577,0.3273203,-4.3836803,11.12,0
22:21:18:207,2,-0.42390028,0.34335044,0.31962347,2.2962801,10.36,0
22:21:18:207,2,-0.46505958,0.40037647,0.3273203,-4.3836803,13.639999,0
22:21:18:207,2,-0.37384614,0.335098,0.26778612,-2.7832,9.76,0
22:21:18:207,2,-0.41694894,0.3517592,0.31962347,2.2962801,12.759999,0
22:21:18:207,2,-0.45695958,0.40959692,0.3273203,-4.3836803,16.52,0
22:21:18:207,2,-0.3670699,0.3425074,0.26778612,-0.13916,11.639999,0
22:21:18:207,2,-0.40787333,0.38058046,0.2975532,-0.13916,15.5199995,0
22:21:18:207,2,-0.44867682,0.41865358,0.3273203,-4.3836803,19.24,0
22:21:18:207,2,-0.3232058,0.30768168,0.23801903,-2.64404,8.88,0
22:21:18:207,2,-0.3636265,0.34616092,0.26778612,-0.13916,13.639999,0
22:21:18:207,2,-0.40404716,0.3846401,0.2975532,-0.13916,18.24,0
22:21:18:207,2,-0.4444679,0.42311937,0.3273203,-4.3836803,21.0,0
22:21:18:207,2,-0.356631,0.35336372,0.26778612,-0.13916,15.24,0
22:21:18:207,2,-0.3962741,0.3926436,0.2975532,-0.13916,20.24,0
22:21:18:207,2,-0.43591717,0.4319235,0.3273203,-4.3836803,21.24,0
22:21:18:207,2,-0.3530796,0.35691234,0.26778612,-0.13916,16.24,0
22:21:18:207,2,-0.39232787,0.39658666,0.2975532,-0.13916,21.0,0
22:21:18:207,2,-0.42719212,0.44055492,0.3273203,-4.3836803,19.76,0
22:21:18:207,2,-0.34587124,0.36390203,0.26778612,-0.13916,16.24,0
22:21:18:207,2,-0.38431823,0.40435335,0.2975532,-0.13916,20.119999,0
22:21:18:207,2,-0.42276528,0.4448047,0.3273203,-4.3836803,17.119999,0
22:21:18:207,2,-0.33852452,0.37074623,0.26778612,-0.13916,15.12,0
22:21:18:207,2,-0.37615484,0.41195834,0.2975532,-0.13916,18.0,0
22:21:18:207,2,-0.41378525,0.45317048,0.3273203,-4.3836803,14.36,0
22:21:18:207,2,-0.33480015,0.3741129,0.26778612,-0.13916,13.5199995,0
22:21:18:207,2,-0.3720165,0.41569927,0.2975532,-0.13916,15.24,0
22:21:18:207,2,-0.40923288,0.45728564,0.3273203,-4.3836803,11.759999,0
22:21:18:207,2,-0.32725146,0.3807336,0.26778612,-0.13916,11.639999,0
22:21:18:207,2,-0.3636287,0.42305592,0.2975532,-0.13916,12.639999,0
22:21:18:207,2,-0.32342783,0.38398707,0.26778612,-0.13916,9.76,0
22:21:18:207,2,-0.35938,0.42667103,0.2975532,-0.13916,10.36,0
22:21:18:266,3,-0.056672007,0.094543226,0.22772542,-4.31396,8.24,0
22:21:18:312,4,-0.54267204,0.31854156,0.2962409,-4.3836803,5.0,0
22:21:18:312,4,-0.5361931,0.32933056,0.2962409,-4.3836803,5.7599998,0
22:21:18:312,4,-0.5294997,0.3399878,0.2962409,-4.3836803,6.64,0
22:21:18:312,4,-0.52259445,0.35050914,0.2962409,-4.3836803,7.7599998,0
22:21:18:312,4,-0.5154802,0.36089024,0.2962409,-4.3836803,9.12,0
22:21:18:312,4,-0.5081598,0.37112695,0.2962409,-4.3836803,10.76,0
22:21:18:312,4,-0.50063616,0.38121527,0.2962409,-4.3836803,12.88,0
22:21:18:312,4,-0.49291223,0.39115107,0.2962409,-4.3836803,15.24,0
22:21:18:312,4,-0.48499116,0.4009304,0.2962409,-4.3836803,18.0,0
22:21:18:312,4,-0.4809577,0.4057602,0.2962409,-4.3836803,21.0,0
22:21:18:312,4,-0.4727468,0.41529757,0.2962409,-4.3836803,23.64,0
22:21:18:312,4,-0.46434686,0.42466882,0.2962409,-3.3398402,25.359999,0
22:21:18:312,4,-0.5061717,0.48185945,0.29547116,-2.5746,6.64,255
22:21:18:312,4,-0.46007705,0.42929095,0.2962409,-3.3398402,25.76,0
22:21:18:312,4,-0.41034865,0.3985366,0.26930022,2.85292,11.759999,0
22:21:18:312,4,-0.45139977,0.43840605,0.2962409,-3.3398402,24.519999,0
22:21:18:312,4,-0.44254193,0.4473458,0.2962409,-3.3398402,22.119999,0
22:21:18:312,4,-0.358373,0.3695831,0.24235956,2.7832,7.64,0
22:21:18:312,4,-0.43804646,0.45174876,0.2962409,-3.3398402,19.119999,0
22:21:18:312,4,-0.43194744,0.4730614,0.27084047,3.1312401,16.119999,0
22:21:18:312,4,-0.056672007,0.094543226,0.22772542,-1.80908,6.24,0
22:21:18:312,4,-0.19632488,1.6281803,0.11498605,0.13916,5.0,0
22:21:18:312,4,0.22339562,1.8526857,-0.33957434,1.3916,5.24,255
22:21:18:312,4,0.36514035,1.7131283,-0.54183626,1.32216,6.12,255
22:21:18:371,5,-0.06938767,0.06345855,-0.23487736,0.13916,9.5199995,255
22:21:18:434,6,-0.35968798,0.4447943,0.26930022,0.13916,5.12,0
22:21:18:596,9,-0.046483118,0.20786709,-0.13652691,-3.479,5.3599997,255
22:21:18:643,10,-0.7801427,0.4069407,0.097181246,-0.13916,6.52,0
22:21:18:643,10,-0.7675853,0.4301584,0.097181246,-0.13916,6.52,0
22:21:18:643,10,-0.7588292,0.44542307,0.097181246,-0.13916,6.3599997,0
22:21:18:643,10,-0.74976957,0.46050957,0.097181246,-0.13916,6.24,0
22:21:18:643,10,-0.7404101,0.4754118,0.097181246,-0.13916,6.0,0
22:21:18:643,10,-0.73561895,0.48279208,0.097181246,-0.13916,5.64,0
22:21:18:643,10,-0.72581667,0.4974069,0.097181246,-0.13916,5.3599997,0
22:21:18:643,10,-0.71572405,0.51182276,0.097181246,-0.13916,5.0,0
22:21:18:643,10,-0.06002625,0.12750368,0.21011584,-4.0356402,7.0,0
22:21:18:702,11,-0.48372522,1.6822046,0.26454285,-0.55664,5.64,0
22:21:18:702,11,-0.43618426,1.6396576,0.18739158,-0.13916,6.24,0
22:21:18:761,12,-0.40196398,0.52875775,0.484277,0.41748002,5.3599997,0
22:21:18:806,13,-0.81261027,0.32531753,0.13229011,0.13916,8.12,0
22:21:18:806,13,-0.8059418,0.3415036,0.13229011,0.13916,7.7599998,0
22:21:18:806,13,-0.79533565,0.3655245,0.13229011,0.13916,7.24,0
22:21:18:806,13,-0.7878666,0.38135704,0.13229011,0.13916,6.64,0
22:21:18:806,13,-0.7760731,0.40481788,0.13229011,0.13916,6.0,0
22:21:18:806,13,-0.767822,0.4202574,0.13229011,0.13916,5.3599997,0
22:21:18:867,14,-0.33829802,1.6688768,0.11939245,-0.13916,5.8799996,255
22:21:18:867,14,0.13140556,0.12017707,0.17971939,4.45312,5.3599997,255
22:21:20:743,48,0.42088452,0.24705385,0.29254335,-0.27832,12.5199995,1
22:21:20:743,48,0.4649015,0.27917922,0.32506245,-0.27832,22.0,1
22:21:20:743,48,0.4454619,0.19935669,0.29254335,-0.27832,13.639999,1
22:21:20:743,48,0.4949794,0.22151718,0.32506245,-0.27832,23.359999,1
22:21:20:743,48,0.4566145,0.1722863,0.29254335,-0.27832,14.639999,1
22:21:20:743,48,0.5073717,0.19143763,0.32506245,-0.27832,24.88,1
22:21:20:743,48,0.4646546,0.14924975,0.29254335,-0.27832,15.759999,1
22:21:20:743,48,0.51630557,0.16584034,0.32506245,-0.27832,26.24,1
22:21:20:743,48,0.5210815,0.2586862,0.38115066,-0.27832,16.88,1
